kind,study,workload,seed,left,right,review_ticks,risk,agents,loss_difference,incorrect_difference,loss_per_job_difference,lower_bound,upper_bound,paired_jobs,primary_action_differences,secondary_action_differences,different_observations,identical_request_primary_differences
duration,core,larger,409,larger|a6|s2|frozen|fcfs|lambda0,larger|a6|s1|frozen|fcfs|lambda0,2,frozen,6,18.0,3,1.0,18.0,18.0,18,0,0,11,0
duration,core,larger,410,larger|a6|s2|frozen|fcfs|lambda0,larger|a6|s1|frozen|fcfs|lambda0,2,frozen,6,4.0,1,0.2222222222222221,4.0,4.0,18,1,0,9,0
duration,core,larger,411,larger|a6|s2|frozen|fcfs|lambda0,larger|a6|s1|frozen|fcfs|lambda0,2,frozen,6,21.0,3,1.166666666666667,21.0,21.0,18,1,1,9,0
duration,core,larger,408,larger|a6|s2|frozen|greedy|lambda0,larger|a6|s1|frozen|greedy|lambda0,2,frozen,6,18.0,2,0.9999999999999998,18.0,18.0,18,0,0,8,0
duration,core,larger,409,larger|a6|s2|frozen|greedy|lambda0,larger|a6|s1|frozen|greedy|lambda0,2,frozen,6,18.0,4,1.0,18.0,18.0,18,0,0,11,0
duration,core,larger,410,larger|a6|s2|frozen|greedy|lambda0,larger|a6|s1|frozen|greedy|lambda0,2,frozen,6,7.0,1,0.38888888888888884,7.0,7.0,18,0,1,9,0
duration,core,larger,411,larger|a6|s2|frozen|greedy|lambda0,larger|a6|s1|frozen|greedy|lambda0,2,frozen,6,32.0,3,1.777777777777778,32.0,32.0,18,0,1,8,0
duration,core,original,400,original|a3|s2|analytical|delay|lambda0,original|a3|s1|analytical|delay|lambda0,2,analytical,3,24.0,3,4.0,24.0,24.0,6,0,0,2,0
duration,core,original,401,original|a3|s2|analytical|delay|lambda0,original|a3|s1|analytical|delay|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,original,402,original|a3|s2|analytical|delay|lambda0,original|a3|s1|analytical|delay|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,original,403,original|a3|s2|analytical|delay|lambda0,original|a3|s1|analytical|delay|lambda0,2,analytical,3,3.0,1,0.5,3.0,3.0,6,0,1,3,0
duration,core,original,404,original|a3|s2|analytical|delay|lambda0,original|a3|s1|analytical|delay|lambda0,2,analytical,3,10.0,0,1.6666666666666667,10.0,10.0,6,0,0,3,0
duration,core,original,405,original|a3|s2|analytical|delay|lambda0,original|a3|s1|analytical|delay|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,original,406,original|a3|s2|analytical|delay|lambda0,original|a3|s1|analytical|delay|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,1,0
duration,core,original,407,original|a3|s2|analytical|delay|lambda0,original|a3|s1|analytical|delay|lambda0,2,analytical,3,3.0,0,0.4999999999999999,3.0,3.0,6,0,0,1,0
duration,core,original,400,original|a3|s2|analytical|greedy|lambda0,original|a3|s1|analytical|greedy|lambda0,2,analytical,3,16.0,2,2.666666666666667,16.0,16.0,6,0,0,2,0
duration,core,original,401,original|a3|s2|analytical|greedy|lambda0,original|a3|s1|analytical|greedy|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,original,402,original|a3|s2|analytical|greedy|lambda0,original|a3|s1|analytical|greedy|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,original,403,original|a3|s2|analytical|greedy|lambda0,original|a3|s1|analytical|greedy|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,original,404,original|a3|s2|analytical|greedy|lambda0,original|a3|s1|analytical|greedy|lambda0,2,analytical,3,10.0,0,1.6666666666666667,10.0,10.0,6,0,0,3,0
duration,core,original,405,original|a3|s2|analytical|greedy|lambda0,original|a3|s1|analytical|greedy|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,original,406,original|a3|s2|analytical|greedy|lambda0,original|a3|s1|analytical|greedy|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,1,0
duration,core,original,407,original|a3|s2|analytical|greedy|lambda0,original|a3|s1|analytical|greedy|lambda0,2,analytical,3,3.0,0,0.4999999999999999,3.0,3.0,6,0,0,1,0
duration,core,original,400,original|a3|s2|frozen|delay|lambda0,original|a3|s1|frozen|delay|lambda0,2,frozen,3,24.0,3,4.0,24.0,24.0,6,0,0,2,0
duration,core,original,401,original|a3|s2|frozen|delay|lambda0,original|a3|s1|frozen|delay|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,original,402,original|a3|s2|frozen|delay|lambda0,original|a3|s1|frozen|delay|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,original,403,original|a3|s2|frozen|delay|lambda0,original|a3|s1|frozen|delay|lambda0,2,frozen,3,3.0,1,0.5,3.0,3.0,6,0,0,2,0
duration,core,original,404,original|a3|s2|frozen|delay|lambda0,original|a3|s1|frozen|delay|lambda0,2,frozen,3,10.0,1,1.666666666666667,10.0,10.0,6,0,0,3,0
duration,core,original,405,original|a3|s2|frozen|delay|lambda0,original|a3|s1|frozen|delay|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,original,406,original|a3|s2|frozen|delay|lambda0,original|a3|s1|frozen|delay|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,1,0
duration,core,original,407,original|a3|s2|frozen|delay|lambda0,original|a3|s1|frozen|delay|lambda0,2,frozen,3,3.0,0,0.4999999999999999,3.0,3.0,6,0,0,1,0
duration,core,original,400,original|a3|s2|frozen|greedy|lambda0,original|a3|s1|frozen|greedy|lambda0,2,frozen,3,16.0,2,2.666666666666667,16.0,16.0,6,0,0,2,0
duration,core,original,401,original|a3|s2|frozen|greedy|lambda0,original|a3|s1|frozen|greedy|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,original,402,original|a3|s2|frozen|greedy|lambda0,original|a3|s1|frozen|greedy|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,original,403,original|a3|s2|frozen|greedy|lambda0,original|a3|s1|frozen|greedy|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,original,404,original|a3|s2|frozen|greedy|lambda0,original|a3|s1|frozen|greedy|lambda0,2,frozen,3,10.0,1,1.666666666666667,10.0,10.0,6,0,0,3,0
duration,core,original,405,original|a3|s2|frozen|greedy|lambda0,original|a3|s1|frozen|greedy|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,original,406,original|a3|s2|frozen|greedy|lambda0,original|a3|s1|frozen|greedy|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,1,0
duration,core,original,407,original|a3|s2|frozen|greedy|lambda0,original|a3|s1|frozen|greedy|lambda0,2,frozen,3,3.0,0,0.4999999999999999,3.0,3.0,6,0,0,1,0
duration,core,original,400,original|a3|s2|pooled|delay|lambda0,original|a3|s1|pooled|delay|lambda0,2,pooled,3,24.0,3,4.0,24.0,24.0,6,0,0,2,0
duration,core,original,401,original|a3|s2|pooled|delay|lambda0,original|a3|s1|pooled|delay|lambda0,2,pooled,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,original,402,original|a3|s2|pooled|delay|lambda0,original|a3|s1|pooled|delay|lambda0,2,pooled,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,original,403,original|a3|s2|pooled|delay|lambda0,original|a3|s1|pooled|delay|lambda0,2,pooled,3,3.0,1,0.5,3.0,3.0,6,0,0,2,0
