bundle_id,replicate,variant,review_duration,comparator,sequences_differ,search_sequence,other_sequence
stage6_07,2,reference,1,greedy,True,train:357;train:178;train:482,train:178;train:482
stage6_07,2,reference,1,edf,False,train:357;train:178;train:482,train:357;train:178;train:482
stage6_07,2,reference,2,greedy,True,train:357;train:178,train:178;train:482
stage6_07,2,reference,2,edf,False,train:357;train:178,train:357;train:178
stage6_07,2,approve_block,1,greedy,True,train:357;train:178;train:482,train:178;train:482
stage6_07,2,approve_block,1,edf,False,train:357;train:178;train:482,train:357;train:178;train:482
stage6_07,2,approve_block,2,greedy,True,train:357;train:178,train:178;train:482
stage6_07,2,approve_block,2,edf,False,train:357;train:178,train:357;train:178
stage6_07,2,complexity_time,1,greedy,True,train:357;train:178;train:482,train:178;train:482
stage6_07,2,complexity_time,1,edf,False,train:357;train:178;train:482,train:357;train:178;train:482
stage6_07,2,complexity_time,2,greedy,True,train:357;train:178,train:178;train:482
stage6_07,2,complexity_time,2,edf,False,train:357;train:178,train:357;train:178
