bundle_id,replicate,review_duration,comparator,sequences_differ,search_sequence,other_sequence,loss_difference
evaluation_24,2,1,greedy,False,train:108;train:316;train:258,train:108;train:316;train:258,0
evaluation_24,2,1,edf,True,train:108;train:316;train:258,train:316;train:108;train:258,0
evaluation_25,0,1,greedy,True,train:262;train:110;train:336,train:110;train:336;train:262,0
evaluation_25,0,1,edf,True,train:262;train:110;train:336,train:110;train:262;train:336,0
evaluation_25,0,2,greedy,True,train:110;train:262;train:336,train:110;train:336,0
evaluation_25,0,2,edf,False,train:110;train:262;train:336,train:110;train:262;train:336,0
evaluation_25,1,1,greedy,True,train:262;train:110,train:110;train:262,0
evaluation_25,1,1,edf,True,train:262;train:110,train:110;train:262,0
evaluation_25,1,2,greedy,False,train:110;train:262,train:110;train:262,0
evaluation_25,1,2,edf,False,train:110;train:262,train:110;train:262,0
evaluation_25,2,1,greedy,True,train:262;train:110;train:336,train:110;train:336;train:262,0
evaluation_25,2,1,edf,True,train:262;train:110;train:336,train:110;train:262;train:336,0
evaluation_25,2,2,greedy,True,train:110;train:262;train:336,train:110;train:336,0
evaluation_25,2,2,edf,False,train:110;train:262;train:336,train:110;train:262;train:336,0
evaluation_26,0,2,greedy,False,train:114;train:352;train:266,train:114;train:352;train:266,0
evaluation_26,0,2,edf,False,train:114;train:352;train:266,train:114;train:352;train:266,0
evaluation_26,0,1,greedy,True,train:352;train:114;train:266,train:114;train:352;train:266,0
evaluation_26,0,1,edf,True,train:352;train:114;train:266,train:114;train:352;train:266,0
evaluation_26,1,2,greedy,False,train:114;train:352;train:266,train:114;train:352;train:266,0
evaluation_26,1,2,edf,False,train:114;train:352;train:266,train:114;train:352;train:266,0
evaluation_26,1,1,greedy,True,train:352;train:114;train:266,train:114;train:352;train:266,0
evaluation_26,1,1,edf,True,train:352;train:114;train:266,train:114;train:352;train:266,0
evaluation_26,2,2,greedy,False,train:114;train:352;train:266,train:114;train:352;train:266,0
evaluation_26,2,2,edf,False,train:114;train:352;train:266,train:114;train:352;train:266,0
evaluation_26,2,1,greedy,True,train:352;train:114;train:266,train:114;train:352;train:266,0
evaluation_26,2,1,edf,True,train:352;train:114;train:266,train:114;train:352;train:266,0
evaluation_27,0,1,greedy,False,train:116;train:358;train:273,train:116;train:358;train:273,0
evaluation_27,0,1,edf,True,train:116;train:358;train:273,train:358;train:273;train:116,0
evaluation_27,0,2,greedy,False,train:116;train:358,train:116;train:358,0
evaluation_27,0,2,edf,True,train:116;train:358,train:358;train:116,0
evaluation_27,1,1,greedy,False,train:116;train:273,train:116;train:273,0
evaluation_27,1,1,edf,False,train:116;train:273,train:116;train:273,0
evaluation_27,1,2,greedy,False,train:116,train:116,0
evaluation_27,1,2,edf,False,train:116,train:116,0
evaluation_27,2,1,greedy,False,train:116;train:273,train:116;train:273,0
evaluation_27,2,1,edf,False,train:116;train:273,train:116;train:273,0
evaluation_27,2,2,greedy,False,train:116,train:116,0
evaluation_27,2,2,edf,False,train:116,train:116,0
evaluation_28,0,2,greedy,True,train:375;train:122,train:122;train:281,-8
evaluation_28,0,2,edf,False,train:375;train:122,train:375;train:122,0
evaluation_28,0,1,greedy,False,train:122;train:375;train:281,train:122;train:375;train:281,0
evaluation_28,0,1,edf,True,train:122;train:375;train:281,train:375;train:122;train:281,0
evaluation_28,1,2,greedy,False,train:281,train:281,0
evaluation_28,1,2,edf,False,train:281,train:281,0
evaluation_28,1,1,greedy,False,train:281,train:281,0
evaluation_28,1,1,edf,False,train:281,train:281,0
evaluation_28,2,2,greedy,True,train:375;train:122,train:122;train:281,-8
evaluation_28,2,2,edf,False,train:375;train:122,train:375;train:122,0
evaluation_28,2,1,greedy,False,train:122;train:375;train:281,train:122;train:375;train:281,0
evaluation_28,2,1,edf,True,train:122;train:375;train:281,train:375;train:122;train:281,0
evaluation_29,0,1,greedy,False,train:135,train:135,0
evaluation_29,0,1,edf,False,train:135,train:135,0
evaluation_29,0,2,greedy,False,train:135,train:135,0
evaluation_29,0,2,edf,False,train:135,train:135,0
evaluation_29,1,1,greedy,False,train:135;train:285,train:135;train:285,0
evaluation_29,1,1,edf,True,train:135;train:285,train:285;train:135,0
evaluation_29,1,2,greedy,False,train:135;train:285,train:135;train:285,0
evaluation_29,1,2,edf,True,train:135;train:285,train:285;train:135,0
evaluation_29,2,1,greedy,False,train:135,train:135,0
