bundle,condition_id,policy,input_hash,study,load,setup,budget,reviewer,contexts,loss,correct,unresolved,reviews,corrections,harms,abstentions,proposal_failures,review_failures,missed_useful,active_time,setup_time,switch_time,decision_time,coordination_time,session_offers,context_changes,repeated_context_inspections,expired_unreviewed,waiting_time,planning_and_controller_seconds
0,core_low_0_24_model,sticky_edf,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,24,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.0003104119095951319
0,core_low_0_24_model,allocation,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,24,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00034867599606513977
0,core_low_0_24_model,guarded,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,24,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00034747098106890917
0,core_low_0_24_model_risk,no_review,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,model_risk,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00024448696058243513
0,core_low_0_24_model_risk,fifo,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,model_risk,related,60,1,8,9,1,0,3,0,0,0,9.0,0.0,0.0,9.0,0.0,9,8,6,0,9.0,0.0005134380189701915
0,core_low_0_24_model_risk,edf,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,model_risk,related,60,1,8,9,1,0,3,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.00047369603998959064
0,core_low_0_24_model_risk,greedy,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,model_risk,related,60,1,8,9,1,0,3,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.0004883110523223877
0,core_low_0_24_model_risk,density,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,model_risk,related,60,1,8,9,1,0,3,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.0005371300503611565
0,core_low_0_24_model_risk,fixed_window,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,model_risk,related,60,1,8,8,1,0,2,0,0,0,8.0,0.0,0.0,8.0,0.0,8,7,5,1,14.0,0.0005835850024595857
0,core_low_0_24_model_risk,unguarded,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,model_risk,related,60,1,8,9,1,0,3,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.0009024989558383822
0,core_low_0_24_model_risk,sticky_edf,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,model_risk,related,60,1,8,9,1,0,3,0,0,0,9.0,0.0,0.0,9.0,0.0,9,6,4,0,9.0,0.0005441689863801003
0,core_low_0_24_model_risk,allocation,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,model_risk,related,60,1,8,9,1,0,3,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.0005661449395120144
0,core_low_0_24_model_risk,guarded,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,model_risk,related,60,1,8,9,1,0,3,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.0008350509451702237
0,core_low_0.25_6_ideal,no_review,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0.25,6,ideal,related,72,0,9,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00021117297001183033
0,core_low_0.25_6_ideal,fifo,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0.25,6,ideal,related,36,4,5,4,4,0,0,0,0,5,5.75,1.0,0.75,4.0,0.0,4,3,1,5,4.0,0.00036684307269752026
0,core_low_0.25_6_ideal,edf,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0.25,6,ideal,related,44,4,5,4,4,0,0,0,0,5,5.75,1.0,0.75,4.0,0.0,4,3,1,5,4.0,0.0003264920087531209
0,core_low_0.25_6_ideal,greedy,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0.25,6,ideal,related,36,4,5,4,4,0,0,0,0,5,5.25,0.75,0.5,4.0,0.0,4,2,0,5,4.0,0.00033993402030318975
0,core_low_0.25_6_ideal,density,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0.25,6,ideal,related,36,4,5,4,4,0,0,0,0,5,5.25,0.75,0.5,4.0,0.0,4,2,0,5,4.0,0.00034297292586416006
0,core_low_0.25_6_ideal,fixed_window,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0.25,6,ideal,related,36,4,5,4,4,0,0,0,0,5,5.75,1.0,0.75,4.0,0.0,4,3,1,5,6.0,0.0003880070289596915
