baseline,budget,error_weight,metric,difference,lo,hi,negative,ties,positive,dialogues
depth3,6.0,2.0,project_correct,-0.0625,-0.125,0.0,3,45,0,48
depth3,6.0,2.0,correct,-0.0625,-0.125,0.0,3,45,0,48
depth3,6.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
depth3,6.0,2.0,unfinished,0.0625,0.0,0.125,0,45,3,48
depth3,6.0,2.0,questions,-0.1875,-0.375,0.0,3,45,0,48
generic2,6.0,2.0,loss,0.0,0.0,0.0,0,48,0,48
generic2,6.0,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
generic2,6.0,2.0,correct,0.0,0.0,0.0,0,48,0,48
generic2,6.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
generic2,6.0,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
generic2,6.0,2.0,questions,0.0,0.0,0.0,0,48,0,48
no_scope,6.0,2.0,loss,0.0,0.0,0.0,0,48,0,48
no_scope,6.0,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
no_scope,6.0,2.0,correct,0.0,0.0,0.0,0,48,0,48
no_scope,6.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
no_scope,6.0,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
no_scope,6.0,2.0,questions,0.0,0.0,0.0,0,48,0,48
request_specific,6.0,2.0,loss,0.0,0.0,0.0,0,48,0,48
request_specific,6.0,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
request_specific,6.0,2.0,correct,0.0,0.0,0.0,0,48,0,48
request_specific,6.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
request_specific,6.0,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
request_specific,6.0,2.0,questions,0.0,0.0,0.0,0,48,0,48
ideal_depth2,6.0,2.0,loss,0.0625,0.0,0.125,0,45,3,48
ideal_depth2,6.0,2.0,project_correct,-0.0625,-0.125,0.0,3,45,0,48
ideal_depth2,6.0,2.0,correct,-0.0625,-0.125,0.0,3,45,0,48
ideal_depth2,6.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
ideal_depth2,6.0,2.0,unfinished,0.0625,0.0,0.125,0,45,3,48
ideal_depth2,6.0,2.0,questions,3.7916666666666665,3.5208333333333335,4.0625,0,0,48,48
one_step,unlimited,2.0,loss,-0.6875,-0.8854166666666666,-0.5,27,21,0,48
one_step,unlimited,2.0,project_correct,0.4895833333333333,0.3645833333333333,0.6145833333333334,0,22,26,48
one_step,unlimited,2.0,correct,0.6875,0.5,0.8854166666666666,0,21,27,48
one_step,unlimited,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
one_step,unlimited,2.0,unfinished,-0.6875,-0.8854166666666666,-0.5,27,21,0,48
one_step,unlimited,2.0,questions,1.53125,1.1041666666666667,1.9791666666666667,0,21,27,48
semantic_memory,unlimited,2.0,loss,-0.10416666666666667,-0.2708333333333333,0.041666666666666664,5,40,3,48
semantic_memory,unlimited,2.0,project_correct,0.010416666666666666,-0.08333333333333333,0.10416666666666667,3,40,5,48
semantic_memory,unlimited,2.0,correct,0.020833333333333332,-0.08333333333333333,0.125,3,40,5,48
semantic_memory,unlimited,2.0,incorrect,-0.08333333333333333,-0.16666666666666666,-0.020833333333333332,5,43,0,48
semantic_memory,unlimited,2.0,unfinished,0.0625,0.0,0.125,0,45,3,48
semantic_memory,unlimited,2.0,questions,1.4791666666666667,1.07265625,1.9166666666666667,3,7,38,48
completion,unlimited,2.0,loss,0.0625,0.0,0.125,0,45,3,48
completion,unlimited,2.0,project_correct,-0.0625,-0.125,0.0,3,45,0,48
completion,unlimited,2.0,correct,-0.0625,-0.125,0.0,3,45,0,48
completion,unlimited,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
completion,unlimited,2.0,unfinished,0.0625,0.0,0.125,0,45,3,48
completion,unlimited,2.0,questions,-0.1875,-0.375,0.0,3,45,0,48
full_history,unlimited,2.0,loss,-0.22916666666666666,-0.4375,-0.041666666666666664,8,38,2,48
full_history,unlimited,2.0,project_correct,0.08333333333333333,-0.020833333333333332,0.19791666666666666,2,39,7,48
full_history,unlimited,2.0,correct,0.08333333333333333,-0.020833333333333332,0.19791666666666666,2,39,7,48
full_history,unlimited,2.0,incorrect,-0.14583333333333334,-0.25,-0.0625,8,40,0,48
full_history,unlimited,2.0,unfinished,0.0625,0.0,0.125,0,45,3,48
full_history,unlimited,2.0,questions,3.7604166666666665,3.4895833333333335,4.041666666666667,0,0,48,48
depth3,unlimited,2.0,loss,0.0625,0.0,0.125,0,45,3,48
depth3,unlimited,2.0,project_correct,-0.0625,-0.125,0.0,3,45,0,48
depth3,unlimited,2.0,correct,-0.0625,-0.125,0.0,3,45,0,48
depth3,unlimited,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
depth3,unlimited,2.0,unfinished,0.0625,0.0,0.125,0,45,3,48
depth3,unlimited,2.0,questions,-0.1875,-0.375,0.0,3,45,0,48
generic2,unlimited,2.0,loss,0.0,0.0,0.0,0,48,0,48
generic2,unlimited,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
generic2,unlimited,2.0,correct,0.0,0.0,0.0,0,48,0,48
generic2,unlimited,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
generic2,unlimited,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
generic2,unlimited,2.0,questions,0.0,0.0,0.0,0,48,0,48
no_scope,unlimited,2.0,loss,0.0,0.0,0.0,0,48,0,48
no_scope,unlimited,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
no_scope,unlimited,2.0,correct,0.0,0.0,0.0,0,48,0,48
no_scope,unlimited,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
no_scope,unlimited,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
no_scope,unlimited,2.0,questions,0.0,0.0,0.0,0,48,0,48
request_specific,unlimited,2.0,loss,0.0,0.0,0.0,0,48,0,48
request_specific,unlimited,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
request_specific,unlimited,2.0,correct,0.0,0.0,0.0,0,48,0,48
request_specific,unlimited,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
request_specific,unlimited,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
request_specific,unlimited,2.0,questions,0.0,0.0,0.0,0,48,0,48
ideal_depth2,unlimited,2.0,loss,0.0625,0.0,0.125,0,45,3,48
ideal_depth2,unlimited,2.0,project_correct,-0.0625,-0.125,0.0,3,45,0,48
ideal_depth2,unlimited,2.0,correct,-0.0625,-0.125,0.0,3,45,0,48
ideal_depth2,unlimited,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
ideal_depth2,unlimited,2.0,unfinished,0.0625,0.0,0.125,0,45,3,48
ideal_depth2,unlimited,2.0,questions,3.7916666666666665,3.5208333333333335,4.0625,0,0,48,48
one_step,0.0,4.0,loss,0.0,0.0,0.0,0,48,0,48
one_step,0.0,4.0,project_correct,0.0,0.0,0.0,0,48,0,48
one_step,0.0,4.0,correct,0.0,0.0,0.0,0,48,0,48
one_step,0.0,4.0,incorrect,0.0,0.0,0.0,0,48,0,48
one_step,0.0,4.0,unfinished,0.0,0.0,0.0,0,48,0,48
one_step,0.0,4.0,questions,0.0,0.0,0.0,0,48,0,48
