reviewer,weights,capacity,duration,policy,n_runs,mean_loss,ci_low,ci_high,correct_rate,correct_low,correct_high,correct,corrections,harmful_reviews,unresolved,completed_reviews,review_time,waiting_time,missed_useful
model,uniform,2,1,fcfs,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,uniform,2,1,edf,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,uniform,2,1,uncertainty,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,uniform,2,1,greedy,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,uniform,2,1,search,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,uniform,2,2,no_review,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,uniform,2,2,fcfs,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,uniform,2,2,edf,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,uniform,2,2,uncertainty,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,uniform,2,2,greedy,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,uniform,2,2,search,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,uniform,2,3,no_review,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,uniform,2,3,fcfs,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,uniform,2,3,edf,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,uniform,2,3,uncertainty,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,uniform,2,3,greedy,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,uniform,2,3,search,18,15.555555555555555,10.222222222222221,20.444444444444443,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model_risk,heterogeneous,1,1,no_review,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model_risk,heterogeneous,1,1,fcfs,18,18.0,14.222222222222221,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,49,49,44,0
model_risk,heterogeneous,1,1,edf,18,18.0,14.222222222222221,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,54,54,54,0
model_risk,heterogeneous,1,1,uncertainty,18,18.0,14.222222222222221,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,50,50,46,0
model_risk,heterogeneous,1,1,greedy,18,18.0,14.222222222222221,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,48,48,42,0
model_risk,heterogeneous,1,1,search,18,18.0,14.222222222222221,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,54,54,54,0
model_risk,heterogeneous,1,2,no_review,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model_risk,heterogeneous,1,2,fcfs,18,17.333333333333332,12.88888888888889,21.11111111111111,0.2777777777777778,0.12962962962962962,0.4629629629629629,15,1,5,39,39,78,48,0
model_risk,heterogeneous,1,2,edf,18,18.0,14.222222222222221,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,54,108,108,0
model_risk,heterogeneous,1,2,uncertainty,18,17.333333333333332,12.88888888888889,21.11111111111111,0.2777777777777778,0.12962962962962962,0.4629629629629629,15,1,5,39,38,76,44,0
model_risk,heterogeneous,1,2,greedy,18,18.0,14.222222222222221,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,39,78,48,0
model_risk,heterogeneous,1,2,search,18,18.0,14.222222222222221,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,54,108,108,0
model_risk,heterogeneous,1,3,no_review,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model_risk,heterogeneous,1,3,fcfs,18,16.444444444444443,11.555555555555555,20.666666666666668,0.2962962962962963,0.12962962962962962,0.481944444444442,16,0,3,38,25,75,21,1
model_risk,heterogeneous,1,3,edf,18,17.333333333333332,13.11111111111111,21.11111111111111,0.2777777777777778,0.12962962962962962,0.4444444444444444,15,1,5,39,36,108,54,0
model_risk,heterogeneous,1,3,uncertainty,18,16.444444444444443,11.555555555555555,20.666666666666668,0.2962962962962963,0.12962962962962962,0.481944444444442,16,0,3,38,25,75,21,1
model_risk,heterogeneous,1,3,greedy,18,17.333333333333332,13.11111111111111,21.11111111111111,0.2777777777777778,0.12962962962962962,0.4444444444444444,15,1,5,39,31,93,39,0
model_risk,heterogeneous,1,3,search,18,17.333333333333332,13.11111111111111,21.11111111111111,0.2777777777777778,0.12962962962962962,0.4444444444444444,15,1,5,39,36,108,54,0
model_risk,heterogeneous,2,1,no_review,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model_risk,heterogeneous,2,1,fcfs,18,18.0,14.222222222222221,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,54,54,18,0
model_risk,heterogeneous,2,1,edf,18,18.0,14.222222222222221,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,54,54,18,0
model_risk,heterogeneous,2,1,uncertainty,18,18.0,14.222222222222221,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,54,54,18,0
model_risk,heterogeneous,2,1,greedy,18,18.0,14.222222222222221,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,54,54,18,0
model_risk,heterogeneous,2,1,search,18,18.0,14.222222222222221,21.333333333333332,0.25925925925925924,0.1111111111111111,0.4259259259259259,14,1,6,40,54,54,18,0
model_risk,heterogeneous,2,2,no_review,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
