policy,pending_count,eligible_count,decisions,mean_seconds,p50_seconds,p95_seconds,max_seconds,mean_orders,max_orders
delay,5,4,94,0.00015699054966581628,0.00013119913637638092,0.0002228822559118271,0.00027293525636196136,65.0,65
delay,5,5,237,0.0007514734497050193,0.0006183218210935593,0.0010628513991832733,0.001219388097524643,326.0,326
delay,6,4,2,0.00018353760242462158,0.00018353760242462158,0.0001971716061234474,0.00019868649542331696,65.0,65
delay,6,5,9,0.0008865510010057025,0.0010349787771701813,0.001150865852832794,0.001221485435962677,326.0,326
delay,6,6,22,0.004530749876390804,0.003866937942802906,0.0068606239743530745,0.006881436333060265,1957.0,1957
edf,0,0,2371,5.606908346469369e-06,5.150213837623596e-06,9.150244295597076e-06,5.916878581047058e-05,0.0,0
edf,1,0,498,9.503623238768443e-06,9.27317887544632e-06,1.382315531373024e-05,2.0619481801986694e-05,0.0,0
edf,1,1,585,1.4367190181699573e-05,1.3900920748710632e-05,1.96114182472229e-05,6.04577362537384e-05,0.0,0
edf,2,0,52,1.2041678508886924e-05,1.0475516319274902e-05,1.6858987510204316e-05,5.2770599722862244e-05,0.0,0
edf,2,1,195,1.6483301535630837e-05,1.5679746866226196e-05,2.3482553660869586e-05,5.36404550075531e-05,0.0,0
edf,2,2,653,1.6290278018524965e-05,1.5659257769584656e-05,2.244003117084503e-05,6.101094186306e-05,0.0,0
edf,3,0,9,1.1033895942899915e-05,1.0760501027107239e-05,1.3966858386993408e-05,1.4331191778182983e-05,0.0,0
edf,3,1,44,1.6813843765042044e-05,1.636054366827011e-05,2.1304283291101455e-05,2.3050233721733093e-05,0.0,0
edf,3,2,97,1.858952503228925e-05,1.790747046470642e-05,2.688281238079071e-05,3.1031668186187744e-05,0.0,0
edf,3,3,409,1.821320385542359e-05,1.7659738659858704e-05,2.592019736766815e-05,3.311038017272949e-05,0.0,0
edf,4,0,1,1.0428950190544128e-05,1.0428950190544128e-05,1.0428950190544128e-05,1.0428950190544128e-05,0.0,0
edf,4,1,3,1.9619862238566082e-05,1.8769875168800354e-05,2.1965056657791137e-05,2.2320076823234558e-05,0.0,0
edf,4,2,24,1.8807205681999523e-05,1.6815029084682465e-05,2.4064071476459502e-05,3.322027623653412e-05,0.0,0
edf,4,3,64,1.8934777472168207e-05,1.882016658782959e-05,2.482747659087181e-05,2.8368085622787476e-05,0.0,0
edf,4,4,75,1.8236016233762106e-05,1.6899779438972473e-05,2.4431198835372924e-05,4.328042268753052e-05,0.0,0
edf,5,1,5,1.9984692335128786e-05,1.6411766409873962e-05,2.6981905102729796e-05,2.709217369556427e-05,0.0,0
edf,5,2,6,1.970057686169942e-05,1.9843690097332e-05,2.3667700588703156e-05,2.4147331714630127e-05,0.0,0
edf,5,3,20,1.9148923456668854e-05,1.7603859305381775e-05,2.5161728262901307e-05,2.8049573302268982e-05,0.0,0
edf,5,4,59,2.0885619066529353e-05,1.9280239939689636e-05,2.8609670698642722e-05,5.875900387763977e-05,0.0,0
edf,5,5,69,2.009831908820332e-05,2.133101224899292e-05,2.5737285614013673e-05,2.9910355806350708e-05,0.0,0
