kind,study,workload,agents,review_ticks,risk,left,right,primary,planned_pairs,completed_pairs,mean_loss_difference,ci_low,ci_high,left_wins,ties,left_losses,actual_order_differences,mean_incorrect_difference,incorrect_ci_low,incorrect_ci_high,mean_loss_per_job_difference,per_job_ci_low,per_job_ci_high,lower_loss_more_incorrect,lower_incorrect_higher_loss,common_objective_0_difference,common_objective_0_ci_low,common_objective_0_ci_high,common_objective_4_difference,common_objective_4_ci_low,common_objective_4_ci_high,common_objective_8_difference,common_objective_8_ci_low,common_objective_8_ci_high
objective,objective,larger,6,1,frozen,larger|a6|s1|frozen|delay|lambda4|objective,larger|a6|s1|frozen|delay|lambda0|objective,False,16,16,1.1875,0.0,2.625,2,8,6,16,-0.625,-0.9375,-0.375,0.06597222222222224,2.0643209364124014e-17,0.14583333333333337,0,3,1.1875,0.0,2.625,-1.3125,-3.125,0.4375,-3.8125,-6.5625,-1.25
objective,objective,larger,6,1,frozen,larger|a6|s1|frozen|delay|lambda8|objective,larger|a6|s1|frozen|delay|lambda0|objective,False,16,16,1.75,0.1875,3.4375,2,6,8,16,-0.75,-1.125,-0.375,0.09722222222222224,0.010416666666666671,0.1909722222222222,0,4,1.75,0.1875,3.4375,-1.25,-3.4375,0.8765624999999915,-4.25,-7.625,-1.0
objective,objective,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda4|objective,larger|a6|s2|frozen|delay|lambda0|objective,False,16,16,0.6875,-0.8765624999999999,3.375,2,13,1,7,-0.125,-0.375,0.125,0.038194444444444434,-0.04869791666666668,0.1875,0,0,0.6875,-0.8765624999999999,3.375,0.1875,-2.25,3.6875,-0.3125,-3.6875,4.1875
objective,objective,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda8|objective,larger|a6|s2|frozen|delay|lambda0|objective,False,16,16,1.5625,-0.75,4.6875,2,12,2,10,-0.125,-0.375,0.125,0.08680555555555557,-0.041666666666666685,0.26041666666666674,0,0,1.5625,-0.75,4.6875,1.0625,-2.0,4.9375,0.5625,-3.25,5.1265624999999915
policy,core,competition,3,1,analytical,competition|a3|s1|analytical|delay|lambda0,competition|a3|s1|analytical|greedy|lambda0,False,32,32,-0.375,-0.75,0.0,3,29,0,29,-0.09375,-0.1875,0.0,-0.0625,-0.125,0.0,0,0,-0.375,-0.75,0.0,-0.75,-1.5,0.0,-1.125,-2.25,0.0
policy,core,competition,3,1,frozen,competition|a3|s1|frozen|delay|lambda0,competition|a3|s1|frozen|edf|lambda0,False,64,64,0.0,0.0,0.0,0,64,0,62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
policy,core,competition,3,1,frozen,competition|a3|s1|frozen|delay|lambda0,competition|a3|s1|frozen|fcfs|lambda0,False,64,64,-1.25,-2.1875,-0.5,9,55,0,38,-0.140625,-0.234375,-0.0625,-0.20833333333333331,-0.3645833333333333,-0.08333333333333333,0,0,-1.25,-2.1875,-0.5,-1.8125,-3.125,-0.8125,-2.375,-4.0625,-1.0625
policy,core,competition,3,1,frozen,competition|a3|s1|frozen|delay|lambda0,competition|a3|s1|frozen|greedy|lambda0,False,64,64,-0.375,-0.6875,-0.125,6,58,0,62,-0.09375,-0.171875,-0.03125,-0.06249999999999999,-0.11458333333333333,-0.020833333333333332,0,0,-0.375,-0.6875,-0.125,-0.75,-1.375,-0.25,-1.125,-2.0625,-0.375
policy,core,competition,3,1,frozen,competition|a3|s1|frozen|delay|lambda0,competition|a3|s1|frozen|myopic|lambda0,False,64,64,-0.375,-0.6875,-0.125,6,58,0,62,-0.09375,-0.171875,-0.03125,-0.06249999999999999,-0.11458333333333333,-0.020833333333333332,0,0,-0.375,-0.6875,-0.125,-0.75,-1.375,-0.25,-1.125,-2.0625,-0.375
policy,core,competition,3,1,frozen,competition|a3|s1|frozen|delay|lambda0,competition|a3|s1|frozen|uncertainty|lambda0,False,64,64,-1.6875,-2.6875,-0.8125,12,52,0,47,-0.1875,-0.296875,-0.09375,-0.28125,-0.44791666666666663,-0.13541666666666669,0,0,-1.6875,-2.6875,-0.8125,-2.4375,-3.875,-1.25,-3.1875,-5.0015625,-1.6875
policy,core,competition,3,1,pooled,competition|a3|s1|pooled|delay|lambda0,competition|a3|s1|pooled|greedy|lambda0,False,32,32,-0.375,-0.75,0.0,3,29,0,30,-0.09375,-0.1875,0.0,-0.0625,-0.125,0.0,0,0,-0.375,-0.75,0.0,-0.75,-1.5,0.0,-1.125,-2.25,0.0
policy,core,competition,3,2,analytical,competition|a3|s2|analytical|delay|lambda0,competition|a3|s2|analytical|greedy|lambda0,False,32,32,-1.375,-2.875,0.125,8,20,4,25,-0.09375,-0.28125,0.125,-0.22916666666666666,-0.4791666666666667,0.02083333333333333,0,0,-1.375,-2.875,0.125,-1.75,-4.0,0.5,-2.125,-5.125,1.0
policy,core,competition,3,2,frozen,competition|a3|s2|frozen|delay|lambda0,competition|a3|s2|frozen|edf|lambda0,False,64,64,-2.5625,-4.0,-1.3125,19,37,8,57,-0.09375,-0.234375,0.046875,-0.42708333333333326,-0.6666666666666667,-0.21875,0,0,-2.5625,-4.0,-1.3125,-2.9375,-4.875,-1.1859375000000085,-3.3125,-5.8125,-1.0625
policy,core,competition,3,2,frozen,competition|a3|s2|frozen|delay|lambda0,competition|a3|s2|frozen|fcfs|lambda0,False,64,64,-2.75,-4.125,-1.5,24,31,9,58,-0.109375,-0.265625,0.0625,-0.4583333333333333,-0.6875,-0.25,0,0,-2.75,-4.125,-1.5,-3.1875,-5.1265625,-1.3109375000000085,-3.625,-6.25,-1.0625
policy,core,competition,3,2,frozen,competition|a3|s2|frozen|delay|lambda0,competition|a3|s2|frozen|greedy|lambda0,True,64,64,-1.3125,-2.25,-0.4375,15,42,7,53,-0.078125,-0.203125,0.046875,-0.21875000000000003,-0.37499999999999994,-0.07291666666666666,0,0,-1.3125,-2.25,-0.4375,-1.625,-3.0,-0.24843750000000853,-1.9375,-3.8125,0.0
policy,core,competition,3,2,frozen,competition|a3|s2|frozen|delay|lambda0,competition|a3|s2|frozen|myopic|lambda0,False,64,64,-1.3125,-2.25,-0.4375,15,42,7,53,-0.078125,-0.203125,0.046875,-0.21875000000000003,-0.37499999999999994,-0.07291666666666666,0,0,-1.3125,-2.25,-0.4375,-1.625,-3.0,-0.24843750000000853,-1.9375,-3.8125,0.0
policy,core,competition,3,2,frozen,competition|a3|s2|frozen|delay|lambda0,competition|a3|s2|frozen|uncertainty|lambda0,False,64,64,-2.4375,-3.9375,-1.125,22,31,11,60,-0.078125,-0.25,0.09375,-0.40624999999999994,-0.65625,-0.1875,0,0,-2.4375,-3.9375,-1.125,-2.75,-4.8765625,-0.75,-3.0625,-5.9375,-0.375
policy,core,competition,3,2,pooled,competition|a3|s2|pooled|delay|lambda0,competition|a3|s2|pooled|greedy|lambda0,False,32,32,-1.625,-2.875,-0.375,8,22,2,28,-0.15625,-0.34375,0.03125,-0.27083333333333326,-0.4791666666666667,-0.06250000000000001,0,0,-1.625,-2.875,-0.375,-2.25,-4.25,-0.375,-2.875,-5.625,-0.25
policy,core,larger,3,1,frozen,larger|a3|s1|frozen|delay|lambda0,larger|a3|s1|frozen|edf|lambda0,False,32,32,-0.90625,-1.90703125,0.0625,12,12,8,31,0.125,0.03125,0.25,-0.10069444444444446,-0.21189236111111112,0.006944444444444427,1,0,-0.90625,-1.90703125,0.0625,-0.40625,-1.625,0.78125,0.09375,-1.40625,1.65625
policy,core,larger,3,1,frozen,larger|a3|s1|frozen|delay|lambda0,larger|a3|s1|frozen|fcfs|lambda0,False,32,32,-1.15625,-2.3125,-0.21796875000000426,12,17,3,26,-0.03125,-0.125,0.0625,-0.1284722222222222,-0.2569444444444444,-0.024218750000000473,0,0,-1.15625,-2.3125,-0.21796875000000426,-1.28125,-2.71875,-0.0625,-1.40625,-3.21875,0.125
policy,core,larger,3,1,frozen,larger|a3|s1|frozen|delay|lambda0,larger|a3|s1|frozen|greedy|lambda0,False,32,32,-0.5625,-2.03125,0.5625,8,18,6,24,-0.125,-0.28125,0.0,-0.06249999999999999,-0.22569444444444442,0.0625,0,0,-0.5625,-2.03125,0.5625,-1.0625,-3.09453125,0.40703124999999574,-1.5625,-4.21875,0.40625
policy,core,larger,3,2,frozen,larger|a3|s2|frozen|delay|lambda0,larger|a3|s2|frozen|edf|lambda0,False,32,32,-0.5625,-2.3125,1.0007812499999957,6,20,6,21,0.15625,-0.03125,0.375,-0.06250000000000001,-0.2569444444444444,0.1111979166666662,1,0,-0.5625,-2.3125,1.0007812499999957,0.0625,-2.21953125,2.28125,0.6875,-2.25,3.6570312499999957
